100.42.160.0/20 #AS13692 DFN-ASN-1 - Douglas FastNet, US
103.233.32.0/22 #AS7629 EPLDT-AS-AP 5F L.V. Locsin Bldg, PH
103.234.232.0/22 #AS12886 LEWTELNET Oskar-von-Miller-Str. 1b, DE
103.235.144.0/24 #AS9389 CGWNET BEIJING SHENZHOU GREATWALL COMMUNICATION, CN
103.236.202.0/24 #AS15830 EQUINIX, NL
103.237.160.0/22 #AS7600 ESCAPE-NET-AS Escape.net, AU
103.23.80.0/22 #AS10036 CNM-AS-KR DLIVE, KR
103.239.214.0/23 #AS4800 LINTASARTA-AS-AP PT Aplikanusa Lintasarta, ID
103.239.248.0/22 #AS9534 MAXIS-AS1-AP Binariang Berhad, MY
103.239.50.0/24 #AS16276 OVH, FR
103.239.64.0/23 #AS9830 SWIFTONLINE-AS-AP SWIFT ONLINE BORDER AS, IN
103.241.248.0/22 #AS7552 VIETEL-AS-AP Viettel Group, VN
