186.41.0.0/18 #AS7418 TELEFONICA CHILE S.A., CL
186.41.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.5.232.0/21 #AS61466 TV Cable Loncomilla S.A., CL
186.64.112.0/21 #AS52368 ZAM LTDA., CL
186.64.120.0/22 #AS52368 ZAM LTDA., CL
186.65.128.0/17 #AS7418 TELEFONICA CHILE S.A., CL
186.67.0.0/16 #AS27651 ENTEL CHILE S.A., CL
186.67.125.0/24 #AS6471 ENTEL CHILE S.A., CL
186.67.139.0/24 #AS6471 ENTEL CHILE S.A., CL
186.67.248.0/24 #AS27986 ENTEL CHILE S.A., CL
186.78.0.0/15 #AS7418 TELEFONICA CHILE S.A., CL
186.9.0.0/16 #AS27925 Entel PCS Telecomunicaciones S.A., CL
186.9.144.0/21 #AS27651 ENTEL CHILE S.A., CL
187.102.192.0/23 #AS264827 WIRCOM S.P.A., CL
187.102.195.0/24 #AS264827 WIRCOM S.P.A., CL
187.103.20.0/22 #AS270056 JPR CONEXION DIGITAL SPA, CL
187.86.195.0/24 #AS271807 EMPRESA NACIONAL DE ENERGIA ENEX S.A, CL
188.255.170.0/24 #AS64161 GRUPO ZGH SPA, CL
