193.141.189.0/24 #AS1136 KPN KPN B.V., NL
193.141.190.0/23 #AS1136 KPN KPN B.V., NL
193.141.227.0/24 #AS1136 KPN KPN B.V., NL
193.141.228.0/23 #AS1136 KPN KPN B.V., NL
193.141.232.0/21 #AS1136 KPN KPN B.V., NL
193.141.240.0/20 #AS1136 KPN KPN B.V., NL
193.172.0.0/15 #AS1136 KPN KPN B.V., NL
193.177.140.0/22 #AS1136 KPN KPN B.V., NL
193.177.144.0/22 #AS1136 KPN KPN B.V., NL
193.200.140.0/24 #AS1136 KPN KPN B.V., NL
194.9.48.0/23 #AS1136 KPN KPN B.V., NL
194.13.7.0/24 #AS1136 KPN KPN B.V., NL
194.13.176.0/24 #AS1136 KPN KPN B.V., NL
194.26.80.0/24 #AS1136 KPN KPN B.V., NL
194.26.144.0/22 #AS1136 KPN KPN B.V., NL
194.26.153.0/24 #AS1136 KPN KPN B.V., NL
194.26.240.0/24 #AS1136 KPN KPN B.V., NL
194.45.8.0/22 #AS1136 KPN KPN B.V., NL
194.45.14.0/23 #AS1136 KPN KPN B.V., NL
194.45.16.0/22 #AS1136 KPN KPN B.V., NL
194.45.21.0/24 #AS1136 KPN KPN B.V., NL
194.45.23.0/24 #AS1136 KPN KPN B.V., NL
194.45.28.0/22 #AS1136 KPN KPN B.V., NL
194.45.32.0/24 #AS1136 KPN KPN B.V., NL
194.45.35.0/24 #AS1136 KPN KPN B.V., NL
194.45.38.0/23 #AS1136 KPN KPN B.V., NL
194.45.40.0/22 #AS1136 KPN KPN B.V., NL
194.45.44.0/24 #AS1136 KPN KPN B.V., NL
194.45.49.0/24 #AS1136 KPN KPN B.V., NL
194.45.50.0/23 #AS1136 KPN KPN B.V., NL
194.45.57.0/24 #AS1136 KPN KPN B.V., NL
194.45.58.0/23 #AS1136 KPN KPN B.V., NL
194.45.60.0/22 #AS1136 KPN KPN B.V., NL
194.45.64.0/22 #AS1136 KPN KPN B.V., NL
194.45.68.0/23 #AS1136 KPN KPN B.V., NL
194.45.70.0/24 #AS1136 KPN KPN B.V., NL
194.45.72.0/22 #AS1136 KPN KPN B.V., NL
194.45.80.0/21 #AS1136 KPN KPN B.V., NL
194.45.88.0/22 #AS1136 KPN KPN B.V., NL
194.45.92.0/23 #AS1136 KPN KPN B.V., NL
194.45.95.0/24 #AS1136 KPN KPN B.V., NL
194.45.96.0/24 #AS1136 KPN KPN B.V., NL
